date,ayanamsa,sun_declination,equation_of_time,sun_long,sun_speed,moon_long,moon_speed,mars_long,mars_speed,mercury_long,mercury_speed,jupiter_long,jupiter_speed,venus_long,venus_speed,saturn_long,saturn_speed,uranus_long,uranus_speed,neptune_long,neptune_speed,pluto_long,pluto_speed,rahu_long,rahu_speed,ketu_long,ketu_speed
2024-01-01,24.1924,-23.0191,-3.29,280.5485,1.0190,161.9070,11.8138,267.6792,0.7418,262.2120,-0.0989,35.5844,0.0048,243.2205,1.2165,333.2880,0.0890,49.3731,-0.0215,355.0834,0.0148,299.3731,0.0311,21.0339,-0.0763,201.0339,-0.0763
2024-01-02,24.1924,-22.9347,-3.76,281.5676,1.0191,173.7085,11.8027,268.4214,0.7426,262.1915,0.0560,35.5909,0.0083,244.4374,1.2175,333.3775,0.0901,49.3519,-0.0208,355.0985,0.0154,299.4043,0.0312,20.9791,-0.0355,200.9791,-0.0355
2024-01-03,24.1924,-22.8427,-4.22,282.5867,1.0192,185.5412,11.8777,269.1643,0.7433,262.3201,0.1992,35.6009,0.0117,245.6554,1.2184,333.4682,0.0912,49.3315,-0.0200,355.1141,0.0159,299.4356,0.0314,20.9581,-0.0090,200.9581,-0.0090
2024-01-04,24.1925,-22.7431,-4.68,283.6060,1.0193,197.4949,12.0452,269.9080,0.7441,262.5859,0.3304,35.6143,0.0152,246.8742,1.2193,333.5600,0.0923,49.3119,-0.0193,355.1303,0.0164,299.4670,0.0315,20.9556,0.0008,200.9556,0.0008
2024-01-05,24.1925,-22.6359,-5.13,284.6253,1.0193,209.6628,12.3059,270.6524,0.7448,262.9769,0.4495,35.6313,0.0186,248.0940,1.2202,333.6529,0.0934,49.2930,-0.0185,355.1470,0.0170,299.4986,0.0316,20.9530,-0.0098,200.9530,-0.0098
2024-01-06,24.1926,-22.5213,-5.58,285.6447,1.0194,222.1354,12.6525,271.3977,0.7456,263.4811,0.5570,35.6516,0.0221,249.3146,1.2210,333.7469,0.0945,49.2749,-0.0177,355.1643,0.0175,299.5303,0.0318,20.9296,-0.0398,200.9296,-0.0398
2024-01-07,24.1926,-22.3993,-6.02,286.6641,1.0195,234.9910,13.0680,272.1436,0.7463,264.0873,0.6536,35.6754,0.0255,250.5361,1.2218,333.8419,0.0955,49.2577,-0.0169,355.1820,0.0181,299.5621,0.0319,20.8692,-0.0824,200.8692,-0.0824
2024-01-08,24.1926,-22.2698,-6.45,287.6836,1.0195,248.2849,13.5234,272.8903,0.7471,264.7850,0.7402,35.7027,0.0290,251.7583,1.2226,333.9379,0.0966,49.2412,-0.0160,355.2004,0.0186,299.5941,0.0320,20.7630,-0.1304,200.7630,-0.1304
2024-01-09,24.1927,-22.1331,-6.87,288.7031,1.0195,262.0374,13.9777,273.6378,0.7478,265.5646,0.8176,35.7334,0.0324,252.9813,1.2234,334.0350,0.0976,49.2256,-0.0152,355.2192,0.0191,299.6261,0.0321,20.6095,-0.1749,200.6095,-0.1749
2024-01-10,24.1927,-21.9891,-7.28,289.7226,1.0195,276.2233,14.3814,274.3860,0.7485,266.4174,0.8867,35.7675,0.0358,254.2050,1.2240,334.1330,0.0985,49.2108,-0.0144,355.2386,0.0196,299.6583,0.0322,20.4188,-0.2025,200.4188,-0.2025
